legacy_resource_id,legacy_title,canonical_resource_id,canonical_title,primary_chapter,primary_chapter_title,aligned_chapters,disposition,canonical_folder,legacy_folder,current_status
AIHE-EX07,Benefit Realization and Capacity Conversion Log,AIHE-B03,Benefit Realization and Capacity Conversion,4,"Productivity, Workforce Redesign, and Implementation","4,6,7",Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/04/core/AIHE-B03,chapters/04/core/AIHE-B03/supp/AIHE-EX07,optional
AIHE-I,Health-System AI Indicator Library,AIHE-C01,AI Quality-Control and Accreditation Evidence Plan,5,"Quality, Accreditation, and Organizational Learning","3,4,5,10,12,13,15",Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/05/core/AIHE-C01,chapters/05/core/AIHE-C01/supp/AIHE-I,optional
AIHE-QC01,Legacy identifier,AIHE-C01,AI Quality-Control and Accreditation Evidence Plan,5,"Quality, Accreditation, and Organizational Learning","5, 10, 11, 12",Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/05/core/AIHE-C01,,legacy alias
AIHE-QC02,Legacy identifier,AIHE-C02,Corrective and Preventive Action Record,5,"Quality, Accreditation, and Organizational Learning","5, 10, 12",Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/05/core/AIHE-C02,,legacy alias
AIHE-B,Economic Evaluation Specification,AIHE-B01,Economic Evaluation Specification,6,"Lifecycle Cost, Pricing, and Benefit Realization","6,7,8,15",Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/06/core/AIHE-B01,chapters/06/core/AIHE-B01/supp/AIHE-B,optional
AIHE-M,TCAIO Costing Workbook,AIHE-B02,Lifecycle Cost and Pricing Record,6,"Lifecycle Cost, Pricing, and Benefit Realization","6,9,14,15",Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/06/core/AIHE-B02,chapters/06/core/AIHE-B02/supp/AIHE-M,optional
AIHE-EX17,AI Pricing and Contract Scenario Record,AIHE-B02,Lifecycle Cost and Pricing Record,6,"Lifecycle Cost, Pricing, and Benefit Realization","6,9,12",Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/06/core/AIHE-B02,chapters/06/core/AIHE-B02/supp/AIHE-EX17,optional
AIHE-AA,Cost-Effectiveness and Budget-Impact Tool,AIHE-B04,"Cost-Effectiveness, Budget Impact, and HTA Record",7,"Economic Evaluation, Affordability, and HTA","7,8",Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/07/core/AIHE-B04,chapters/07/core/AIHE-B04/supp/AIHE-AA,optional
AIHE-EX18,"HTA, Reimbursement, and Adoption Record",AIHE-B04,"Cost-Effectiveness, Budget Impact, and HTA Record",7,"Economic Evaluation, Affordability, and HTA","7,9,11,12",Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/07/core/AIHE-B04,chapters/07/core/AIHE-B04/supp/AIHE-EX18,optional
AIHE-EX15,Analytic and Simulation Method Selection Guide,AIHE-B05,"Model Selection, Uncertainty, and Reproducibility",8,Decision Modelling and Simulation Under Uncertainty,"7,8,11",Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/08/core/AIHE-B05,chapters/08/core/AIHE-B05/supp/AIHE-EX15,optional
AIHE-EX16,"Reproducible Analysis, Model Risk, and Code Quality Checklist",AIHE-B05,"Model Selection, Uncertainty, and Reproducibility",8,Decision Modelling and Simulation Under Uncertainty,"8,11,12",Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/08/core/AIHE-B05,chapters/08/core/AIHE-B05/supp/AIHE-EX16,optional
AIHE-AF,"Evidence, Reporting, and Assurance Crosswalk",AIHE-B05,"Model Selection, Uncertainty, and Reproducibility",8,Decision Modelling and Simulation Under Uncertainty,"9,10,11,12",Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/08/core/AIHE-B05,chapters/08/core/AIHE-B05/supp/AIHE-AF,optional
AIHE-EX04,Evidence and Assumption Log,AIHE-B05,"Model Selection, Uncertainty, and Reproducibility",8,Decision Modelling and Simulation Under Uncertainty,"7,8,11,12",Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/08/core/AIHE-B05,chapters/08/core/AIHE-B05/supp/AIHE-EX04,optional
AIHE-EX06,Model Card and AI Intervention Fact Sheet,AIHE-B05,"Model Selection, Uncertainty, and Reproducibility",8,Decision Modelling and Simulation Under Uncertainty,"3,9,11,12",Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/08/core/AIHE-B05,chapters/08/core/AIHE-B05/supp/AIHE-EX06,optional
AIHE-D,AI Procurement Checklist,AIHE-D01,Vendor Evidence and Contract Requirements,9,Problem-First Procurement and Vendor Governance,"9,12,14",Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/09/core/AIHE-D01,chapters/09/core/AIHE-D01/supp/AIHE-D,optional
AIHE-EX08,Vendor Demonstration Evaluation Form,AIHE-D01,Vendor Evidence and Contract Requirements,9,Problem-First Procurement and Vendor Governance,"9,12",Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/09/core/AIHE-D01,chapters/09/core/AIHE-D01/supp/AIHE-EX08,optional
AIHE-EX09,Contract Requirements and Exit Matrix,AIHE-D01,Vendor Evidence and Contract Requirements,9,Problem-First Procurement and Vendor Governance,"9,12,14",Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/09/core/AIHE-D01,chapters/09/core/AIHE-D01/supp/AIHE-EX09,optional
AIHE-C,Ethical Governance Checklist for Healthcare AI,AIHE-C03,Integrated Institutional-Risk Review,10,"Governance, Accountability, and Institutional Risk","10,12",Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/10/core/AIHE-C03,chapters/10/core/AIHE-C03/supp/AIHE-C,optional
AIHE-AB,Privacy and Cybersecurity Risk Register,AIHE-C03,Integrated Institutional-Risk Review,10,"Governance, Accountability, and Institutional Risk","10,12",Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/10/core/AIHE-C03,chapters/10/core/AIHE-C03/supp/AIHE-AB,optional
AIHE-AC,Equity Impact Tool,AIHE-C03,Integrated Institutional-Risk Review,10,"Governance, Accountability, and Institutional Risk","7,10,12,15",Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/10/core/AIHE-C03,chapters/10/core/AIHE-C03/supp/AIHE-AC,optional
AIHE-N,"Trust, Equity, and Public Value Workbook",AIHE-C03,Integrated Institutional-Risk Review,10,"Governance, Accountability, and Institutional Risk","1,7,10,12",Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/10/core/AIHE-C03,chapters/10/core/AIHE-C03/supp/AIHE-N,optional
AIHE-G,Sample Health-System AI Governance Charter,AIHE-C03,Integrated Institutional-Risk Review,10,"Governance, Accountability, and Institutional Risk","10,12",Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/10/core/AIHE-C03,chapters/10/core/AIHE-C03/supp/AIHE-G,optional
AIHE-EX13,Public Transparency and Communication Notice,AIHE-C05,Public Transparency and Communication Record,10,"Governance, Accountability, and Institutional Risk","3,10,12",Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/10/core/AIHE-C05,chapters/10/core/AIHE-C05/supp/AIHE-EX13,optional
AIHE-Q,GATED-AI Gate Record,AIHE-D02,"Lifecycle Gates, Staged Implementation, and Dossier Status",12,Decision Architecture and Lifecycle Governance,"9,11,12",Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/12/core/AIHE-D02,chapters/12/core/AIHE-D02/supp/AIHE-Q,optional
AIHE-R,VALIDATE-AI Implementation Plan,AIHE-D02,"Lifecycle Gates, Staged Implementation, and Dossier Status",12,Decision Architecture and Lifecycle Governance,"4,11,12",Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/12/core/AIHE-D02,chapters/12/core/AIHE-D02/supp/AIHE-R,optional
AIHE-EX14,Final Board Recommendation Pack,AIHE-D02,"Lifecycle Gates, Staged Implementation, and Dossier Status",12,Decision Architecture and Lifecycle Governance,"1,6,7,9,10,11,12,15",Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/12/core/AIHE-D02,chapters/12/core/AIHE-D02/supp/AIHE-EX14,optional
AIHE-EX10,Workflow Change and Training Competency Log,AIHE-D02,"Lifecycle Gates, Staged Implementation, and Dossier Status",12,Decision Architecture and Lifecycle Governance,"3,4,12",Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/12/core/AIHE-D02,chapters/12/core/AIHE-D02/supp/AIHE-EX10,optional
AIHE-AE,AI-HED Completeness and Decision-Quality Review,AIHE-D02,"Lifecycle Gates, Staged Implementation, and Dossier Status",12,Decision Architecture and Lifecycle Governance,12,Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/12/core/AIHE-D02,chapters/12/core/AIHE-D02/supp/AIHE-AE,optional
AIHE-E,Applied Case and Decision Review Template,AIHE-D02,"Lifecycle Gates, Staged Implementation, and Dossier Status",12,Decision Architecture and Lifecycle Governance,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/12/core/AIHE-D02,chapters/12/core/AIHE-D02/supp/AIHE-E,optional
AIHE-EX02,AI System Inventory and Policy Register,AIHE-D02,"Lifecycle Gates, Staged Implementation, and Dossier Status",12,Decision Architecture and Lifecycle Governance,"9,10,12",Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/12/core/AIHE-D02,chapters/12/core/AIHE-D02/supp/AIHE-EX02,optional
AIHE-H,AI Project One-Page Decision Memo,AIHE-D02,"Lifecycle Gates, Staged Implementation, and Dossier Status",12,Decision Architecture and Lifecycle Governance,"1,6,7,9,10,12",Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/12/core/AIHE-D02,chapters/12/core/AIHE-D02/supp/AIHE-H,optional
AIHE-K,AI-HEVG Assessment Workbook,AIHE-D02,"Lifecycle Gates, Staged Implementation, and Dossier Status",12,Decision Architecture and Lifecycle Governance,"1,2,6,7,10,12",Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/12/core/AIHE-D02,chapters/12/core/AIHE-D02/supp/AIHE-K,optional
AIHE-P,AI-HED Dossier Template,AIHE-D02,"Lifecycle Gates, Staged Implementation, and Dossier Status",12,Decision Architecture and Lifecycle Governance,"6,7,8,9,10,11,12",Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/12/core/AIHE-D02,chapters/12/core/AIHE-D02/supp/AIHE-P,optional
AIHE-V,Validation Protocol for the Proposed Framework Package,AIHE-D02,"Lifecycle Gates, Staged Implementation, and Dossier Status",12,Decision Architecture and Lifecycle Governance,"11,12",Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/12/core/AIHE-D02,chapters/12/core/AIHE-D02/supp/AIHE-V,optional
AIHE-S,"Algorithmovigilance Dashboard, Cadence, and Incident Record",AIHE-D03,Post-Deployment Monitoring and Algorithmovigilance Cadence,12,Decision Architecture and Lifecycle Governance,"5,11,12",Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/12/core/AIHE-D03,chapters/12/core/AIHE-D03/supp/AIHE-S,optional
AIHE-EX12,Incident Corrective Action and Reconstruction Log,AIHE-D04,Incident Classification and Reconstruction,12,Decision Architecture and Lifecycle Governance,"5,10,12",Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/12/core/AIHE-D04,chapters/12/core/AIHE-D04/supp/AIHE-EX12,optional
AIHE-EX11,Material Change and Renewal Review,AIHE-D05,Change-Control and Renewal Record,12,Decision Architecture and Lifecycle Governance,"9,12,14",Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/12/core/AIHE-D05,chapters/12/core/AIHE-D05/supp/AIHE-EX11,optional
AIHE-T,AI De-adoption and Decommissioning Plan,AIHE-D05,Change-Control and Renewal Record,12,Decision Architecture and Lifecycle Governance,"9,12,14",Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/12/core/AIHE-D05,chapters/12/core/AIHE-D05/supp/AIHE-T,optional
AIHE-J,Lifecycle and Future-Proofing Toolkit,AIHE-D05,Change-Control and Renewal Record,12,Decision Architecture and Lifecycle Governance,"9,12,13,14,15",Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/12/core/AIHE-D05,chapters/12/core/AIHE-D05/supp/AIHE-J,optional
AIHE-CE1,Circular Economy and Sustainable AI Assessment,AIHE-E01,Circular-Economy and Sustainable-AI Assessment,13,Circular Health Systems and Resource Stewardship,"13,14,15",Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/13/core/AIHE-E01,chapters/13/core/AIHE-E01/supp/AIHE-CE1,optional
AIHE-CE2,Circular Procurement and Supplier Scorecard,AIHE-E02,Circular Procurement and Supplier Scorecard,14,Circular Procurement and Asset Stewardship,"9,13,14",Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/14/core/AIHE-E02,chapters/14/core/AIHE-E02/supp/AIHE-CE2,optional
AIHE-CE3,Circular Asset-Life Decision Workbook,AIHE-E03,Asset-Life Decision Record,14,Circular Procurement and Asset Stewardship,"6,9,14,15",Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/14/core/AIHE-E03,chapters/14/core/AIHE-E03/supp/AIHE-CE3,optional
AIHE-CE6,Circularity-Adjusted Evaluation Record,AIHE-E04,Circularity-Adjusted Evaluation Record,15,Circularity-Adjusted Evaluation and Sustainable Value,"6,7,8,15",Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/15/core/AIHE-E04,chapters/15/core/AIHE-E04/supp/AIHE-CE6,optional
AIHE-CE4,Environmental Footprint and Circularity Dashboard,AIHE-E05,"Environmental, Circularity, and Disposition Dashboard",15,Circularity-Adjusted Evaluation and Sustainable Value,"5,12,13,14,15",Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/15/core/AIHE-E05,chapters/15/core/AIHE-E05/supp/AIHE-CE4,optional
AIHE-CE5,Circular Decommissioning and Asset Disposition Record,AIHE-E05,"Environmental, Circularity, and Disposition Dashboard",15,Circularity-Adjusted Evaluation and Sustainable Value,"12,13,14",Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/15/core/AIHE-E05,chapters/15/core/AIHE-E05/supp/AIHE-CE5,optional
AIHE-CE7,Annual Circularity Review,AIHE-E05,"Environmental, Circularity, and Disposition Dashboard",15,Circularity-Adjusted Evaluation and Sustainable Value,"12,13,14,15",Retained as a legacy alias or supplemental specialist resource; use the canonical resource for new institutional work.,chapters/15/core/AIHE-E05,chapters/15/core/AIHE-E05/supp/AIHE-CE7,optional
