resource_id,title,primary_chapter,formats,purpose,version,status,aligned_chapters,folder,primary_chapter_title,related_resources,tier,legacy_aliases,has_browser_form,browser_form_path,has_process_flow,process_flow_path,reader_level,primary_audience,estimated_time,required_inputs,expected_output,prerequisites,use_frequency,essential_or_optional,recommended_format,technical_skill_required,reader_pathway,default_visibility
AIHE-AG,Editable Figure and Graph Source Manifest,1,docx; odt; xlsx; ods; csv; json; md,"Record figure files, data, code, ownership, accessibility, licensing, version, and update status.",V1.0,optional,1-15,optional/reference/AIHE-AG,AI as a Health-System Intervention,,Optional reference,,no,,no,,Advanced,Specialist and technical users,Variable,Defined task and relevant source materials,Specialist supporting output,Aligned Book Chapter 1,As needed,Optional,docx; odt; xlsx; ods; csv; json; md,Moderate to high,Access advanced source files,advanced
AIHE-A03,Institutional Readiness Assessment,2,docx; odt; xlsx; ods; csv; json; md; mmd; svg; png,"Assess strategic, data, infrastructure, workflow, workforce, quality, economic, governance, procurement, and sustainability readiness.",V1.0,public,"2, 4, 5, 9, 10, 12",chapters/02/core/AIHE-A03,Institutional Readiness and Digital Foundations,AIHE-A; AIHE-L,Core,AIHE-A; AIHE-L,yes,docs/forms/AIHE-A03/index.html,yes,docs/process/resources/AIHE-A03.html,Applied,Institutional decision-makers and multidisciplinary project teams,60–180 minutes,"Defined decision problem, realistic comparator, local evidence, named owners, and applicable institutional requirements","Versioned institutional decision record with conditions, monitoring, review date, and exit route",Book Chapter 2; governed working copy; accountable owner,At initiation and each material review,Essential when relevant to the decision,DOCX/ODT for narrative work; XLSX/ODS for registers and calculations,Low to moderate,Define a new proposal,default
AIHE-A04,"Data Source, Provenance, and Fitness Record",2,docx; odt; xlsx; ods; csv; json; md; mmd; svg; png,"Document source and derived data assets, authority, definitions, transformations, quality, lineage, monitoring, and remediation.",V1.0,public,"2, 8, 11, 12",chapters/02/core/AIHE-A04,Institutional Readiness and Digital Foundations,AIHE-EX03; AIHE-Y; AIHE-U,Core,AIHE-EX03; AIHE-Y; AIHE-U,yes,docs/forms/AIHE-A04/index.html,yes,docs/process/resources/AIHE-A04.html,Applied,Institutional decision-makers and multidisciplinary project teams,60–180 minutes,"Defined decision problem, realistic comparator, local evidence, named owners, and applicable institutional requirements","Versioned institutional decision record with conditions, monitoring, review date, and exit route",Book Chapter 2; governed working copy; accountable owner,At initiation and each material review,Essential when relevant to the decision,DOCX/ODT for narrative work; XLSX/ODS for registers and calculations,Low to moderate,Define a new proposal,default
AIHE-CASE02,Readmission-Model Readiness and Data-Fitness Assessment,2,md; csv; json; xlsx; ods,"Is the organization ready to validate and pilot a readmission-risk model, and which capability gaps must be remediated first?",V1.0,public,2,chapters/02/worked_examples/AIHE-CASE02_readmission_model_readiness_and_data_fitness_assessment,Institutional Readiness and Digital Foundations,AIHE-A03; AIHE-A; AIHE-L; AIHE-A04; AIHE-EX03; AIHE-Y; AIHE-U; AIHE-PY01; AIHE-PY03; AIHE-PY33,Worked case,,no,,no,,Introductory to applied,"Readers, students, practitioners, and facilitators",45–120 minutes,No local data required; synthetic assumptions are supplied,Completed case interpretation and conditional recommendation,Book Chapter 2 or the case orientation,"Orientation, training, or method demonstration",Recommended,"Browser demonstration, workbook, scenario, and worked solution",Low,Learn through a worked example,default
AIHE-PY01,"Data quality, fitness-for-purpose, and mapping audit",2,py; ipynb; xlsx; ods; csv; json; png; md,"Profiles missingness, duplicates, implausible values, subgroup coverage, and terminology-mapping completeness before AI validation or economic analysis.",V1.0,public,"2, 11",chapters/02/python_analytics/AIHE-PY01_data_quality_fitness_for_purpose_and_mapping_audit,Institutional Readiness and Digital Foundations,AIHE-A04; AIHE-B05; AIHE-CASE02,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 2; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying workbook",High,Run an analysis,advanced
AIHE-PY03,Missing-data sensitivity analysis,2,py; ipynb; xlsx; ods; csv; json; png; md,"Shows how complete-case analysis, simple imputation, and best/worst-case assumptions can change estimated outcomes and costs.",V1.0,public,"2, 11",chapters/02/python_analytics/AIHE-PY03_missing_data_sensitivity_analysis,Institutional Readiness and Digital Foundations,AIHE-A04; AIHE-B05; AIHE-CASE02,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 2; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying workbook",High,Run an analysis,advanced
AIHE-PY33,Patient or service segmentation using clustering,2,py; ipynb; xlsx; ods; csv; json; png; md,"Uses standardized features and k-means clustering to identify groups with different utilization, risk, cost, or workflow patterns.",V1.0,public,"2, 11",chapters/02/python_analytics/AIHE-PY33_patient_or_service_segmentation_using_clustering,Institutional Readiness and Digital Foundations,AIHE-A04; AIHE-CASE02,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 2; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying workbook",High,Run an analysis,advanced
AIHE-A,AI Readiness Assessment for Health Systems,2,docx; odt; xlsx; ods; csv; json; md; mmd; svg; png,"Assess strategic, data, infrastructure, workforce, governance, economic, ethical, security, and monitoring readiness at organizational and use-case levels.",V1.0,optional,"2,4,9,12",chapters/02/core/AIHE-A03/supp/AIHE-A,Institutional Readiness and Digital Foundations,AIHE-A03,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-A.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 2,As required by the decision,Optional or conditionally required,"DOCX/ODT, XLSX/ODS, or structured data",Moderate,Use a specialist resource,advanced
AIHE-EX03,Data Source Map and Access Record,2,docx; odt; xlsx; ods; csv; json; md; mmd; svg; png,"Document data sources, access authority, interoperability, quality, provenance, and reuse constraints.",V1.0,optional,"2,11,12",chapters/02/core/AIHE-A04/supp/AIHE-EX03,Institutional Readiness and Digital Foundations,AIHE-A04,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-EX03.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 2,As required by the decision,Optional or conditionally required,"DOCX/ODT, XLSX/ODS, or structured data",Moderate,Use a specialist resource,advanced
AIHE-L,Health-System AI Readiness Maturity Assessment,2,docx; odt; xlsx; ods; csv; json; md; mmd; svg; png,Rate health-system maturity by domain and identify the weakest critical capability and prerequisites before pilot or scale.,V1.0,optional,"2,4,12",chapters/02/core/AIHE-A03/supp/AIHE-L,Institutional Readiness and Digital Foundations,AIHE-A03,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-L.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 2,As required by the decision,Optional or conditionally required,"DOCX/ODT, XLSX/ODS, or structured data",Moderate,Use a specialist resource,advanced
AIHE-U,SHARE-AI Secondary-Use Governance Worksheet,2,docx; odt; xlsx; ods; csv; json; md; mmd; svg; png,"Authorize secondary data use through purpose, harmonization, access, risk, public value, and audit controls.",V1.0,optional,"2,10,11,12",chapters/02/core/AIHE-A04/supp/AIHE-U,Institutional Readiness and Digital Foundations,AIHE-A04,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-U.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 2,As required by the decision,Optional or conditionally required,"DOCX/ODT, XLSX/ODS, or structured data",Moderate,Use a specialist resource,advanced
AIHE-Y,Data Quality and Fitness-for-Purpose Assessment,2,docx; odt; xlsx; ods; csv; json; md; mmd; svg; png,"Assess completeness, plausibility, consistency, timeliness, representativeness, lineage, and actionability.",V1.0,optional,"2,11,12",chapters/02/core/AIHE-A04/supp/AIHE-Y,Institutional Readiness and Digital Foundations,AIHE-A04,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-Y.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 2,As required by the decision,Optional or conditionally required,"DOCX/ODT, XLSX/ODS, or structured data",Moderate,Use a specialist resource,advanced
AIHE-C04,Human Oversight and Accountability Matrix,3,docx; odt; xlsx; ods; csv; json; md; mmd; svg; png,"Assign accountability, responsibility, consultation, information, escalation, pause, update, restart, and retirement authority.",V1.0,public,"3, 10, 12",chapters/03/core/AIHE-C04,Human–AI Decision Support and Managerial Action,AIHE-O,Core,AIHE-O,yes,docs/forms/AIHE-C04/index.html,yes,docs/process/resources/AIHE-C04.html,Applied,Institutional decision-makers and multidisciplinary project teams,60–180 minutes,"Defined decision problem, realistic comparator, local evidence, named owners, and applicable institutional requirements","Versioned institutional decision record with conditions, monitoring, review date, and exit route",Book Chapter 3; governed working copy; accountable owner,At initiation and each material review,Essential when relevant to the decision,DOCX/ODT for narrative work; XLSX/ODS for registers and calculations,Low to moderate,Define accountable human oversight,default
AIHE-CASE03,Deterioration Alert Under Constrained Review Capacity,3,md; csv; json; xlsx; ods,Which alert threshold produces an operationally safe balance between missed deterioration and review burden?,V1.0,public,3,chapters/03/worked_examples/AIHE-CASE03_deterioration_alert_under_constrained_review_capacity,Human–AI Decision Support and Managerial Action,AIHE-EX05; AIHE-EX06; AIHE-C04; AIHE-O; AIHE-I; AIHE-PY06; AIHE-PY21; AIHE-PY34; AIHE-PY35,Worked case,,no,,no,,Introductory to applied,"Readers, students, practitioners, and facilitators",45–120 minutes,No local data required; synthetic assumptions are supplied,Completed case interpretation and conditional recommendation,Book Chapter 3 or the case orientation,"Orientation, training, or method demonstration",Recommended,"Browser demonstration, workbook, scenario, and worked solution",Low,Learn through a worked example,default
AIHE-CASE03B,Hospital Command Dashboard and Patient Flow,3,md; csv; json; xlsx; ods,Evaluate whether and under what conditions a command dashboard should be scaled as a permanent patient-flow management intervention.,V1.0,public,"3, 5, 8, 11, 12",chapters/03/worked_examples/AIHE-CASE03B_hospital_command_dashboard_and_patient_flow,Human–AI Decision Support and Managerial Action,AIHE-C01; AIHE-C02; AIHE-C04; AIHE-B03; AIHE-I; AIHE-PY21; AIHE-PY23; AIHE-PY34; AIHE-PY35,Worked case,,no,,no,,Introductory to applied,"Readers, students, practitioners, and facilitators",45–120 minutes,No local data required; synthetic assumptions are supplied,Completed case interpretation and conditional recommendation,Book Chapter 3 or the case orientation,"Orientation, training, or method demonstration",Recommended,"Browser demonstration, workbook, scenario, and worked solution",Low,Learn through a worked example,default
AIHE-PY06,Decision-curve analysis,3,py; ipynb; xlsx; ods; csv; json; png; md,Compares prediction-model net benefit with treat-all and treat-none strategies across clinically relevant thresholds.,V1.0,public,"3, 7, 11",chapters/03/python_analytics/AIHE-PY06_decision_curve_analysis,Human–AI Decision Support and Managerial Action,AIHE-C04; AIHE-B05; AIHE-CASE03,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 3; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying workbook",High,Run an analysis,advanced
AIHE-PY21,Discrete-event simulation of hospital flow,3,py; ipynb; xlsx; ods; csv; json; png; md,"Simulates arrivals, queues, service times, capacity, prioritization, and delays to assess how AI-enabled triage or scheduling affects operations.",V1.0,public,"3, 8",chapters/03/python_analytics/AIHE-PY21_discrete_event_simulation_of_hospital_flow,Human–AI Decision Support and Managerial Action,AIHE-B05; AIHE-C04; AIHE-CASE03,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 3; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying workbook",High,Run an analysis,advanced
AIHE-PY34,"Time-series forecasting for demand, capacity, and budget planning",3,py; ipynb; xlsx; ods; csv; json; png; md,Fits simple trend and exponential-smoothing forecasts to operational or financial time series and compares forecast accuracy.,V1.0,public,"3, 6, 8, 13",chapters/03/python_analytics/AIHE-PY34_time_series_forecasting_for_demand_capacity_and_budget_planning,Human–AI Decision Support and Managerial Action,AIHE-C01; AIHE-B03; AIHE-CASE03,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 3; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying workbook",High,Run an analysis,advanced
AIHE-PY35,Constrained resource-allocation optimization,3,py; ipynb; xlsx; ods; csv; json; png; md,"Selects an allocation across candidate AI or service options to maximize expected value subject to budget, workforce, capacity, and minimum-service constraints.",V1.0,public,"3, 8, 13",chapters/03/python_analytics/AIHE-PY35_constrained_resource_allocation_optimization,Human–AI Decision Support and Managerial Action,AIHE-B05; AIHE-CASE03,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 3; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying workbook",High,Run an analysis,advanced
AIHE-O,HOAM Accountability Workbook,3,docx; odt; xlsx; ods; csv; json; md; mmd; svg; png,"Assign accountable and responsible owners, consultation, information, escalation, pause, update, restart, and retirement authority.",V1.0,optional,"3,10,12",chapters/03/core/AIHE-C04/supp/AIHE-O,Human–AI Decision Support and Managerial Action,AIHE-C04,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-O.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 3,As required by the decision,Optional or conditionally required,"DOCX/ODT, XLSX/ODS, or structured data",Moderate,Use a specialist resource,advanced
AIHE-B03,Benefit Realization and Capacity Conversion,4,docx; odt; xlsx; ods; csv; json; md; mmd; svg; png,"Translate claimed benefits into measurable mechanisms, owners, baselines, conversion conditions, and realized results.",V1.0,public,"4, 6, 7, 12",chapters/04/core/AIHE-B03,"Productivity, Workforce Redesign, and Implementation",AIHE-Z; AIHE-EX07,Core,AIHE-Z; AIHE-EX07,yes,docs/forms/AIHE-B03/index.html,yes,docs/process/resources/AIHE-B03.html,Applied,Institutional decision-makers and multidisciplinary project teams,60–180 minutes,"Defined decision problem, realistic comparator, local evidence, named owners, and applicable institutional requirements","Versioned institutional decision record with conditions, monitoring, review date, and exit route",Book Chapter 4; governed working copy; accountable owner,At initiation and each material review,Essential when relevant to the decision,DOCX/ODT for narrative work; XLSX/ODS for registers and calculations,Low to moderate,Prepare an economic and affordability case,default
AIHE-RG03,Implementation Framework Selection Guide,4,docx; odt; xlsx; ods; csv; json; md,"Select CFIR, NASSS-CAT, RE-AIM/PRISM, TAM/UTAUT, and mixed-method approaches according to the implementation question rather than name recognition.",V1.0,public,"4, 11, 12",chapters/04/guides/AIHE-RG03,"Productivity, Workforce Redesign, and Implementation",,Reference guide,,yes,docs/forms/AIHE-RG03/index.html,yes,docs/process/resources/AIHE-RG03.html,Introductory to applied,"Readers selecting methods, standards, guidance, or appraisal tools",20–60 minutes,"Defined question, jurisdiction, study design, or implementation context",Documented selection and status of the relevant instrument,Book Chapter 4 or related decision pathway,Whenever guidance or standards are selected or updated,Recommended,"Browser form, DOCX/ODT, or spreadsheet",Low to moderate,Consult a reference guide,default
AIHE-CASE04,Ambient Documentation Assistant: Productivity and Workforce Redesign,4,md; csv; json; xlsx; ods,"How much of the claimed documentation time saving becomes usable capacity after review, correction, adoption, and implementation costs?",V1.0,public,4,chapters/04/worked_examples/AIHE-CASE04_ambient_documentation_assistant_productivity_and_workforce_redesign,"Productivity, Workforce Redesign, and Implementation",AIHE-B03; AIHE-Z; AIHE-EX07; AIHE-R; AIHE-EX10; AIHE-PY22; AIHE-PY23; AIHE-PY28,Worked case,,no,,no,,Introductory to applied,"Readers, students, practitioners, and facilitators",45–120 minutes,No local data required; synthetic assumptions are supplied,Completed case interpretation and conditional recommendation,Book Chapter 4 or the case orientation,"Orientation, training, or method demonstration",Recommended,"Browser demonstration, workbook, scenario, and worked solution",Low,Learn through a worked example,default
AIHE-PY22,"System-dynamics model of adoption, capacity, and value",4,py; ipynb; xlsx; ods; csv; json; png; md,"Explores feedback among training, trust, adoption, workforce capacity, workload, benefit realization, and support burden over time.",V1.0,public,"4, 8, 12",chapters/04/python_analytics/AIHE-PY22_system_dynamics_model_of_adoption_capacity_and_value,"Productivity, Workforce Redesign, and Implementation",AIHE-B03; AIHE-D02; AIHE-CASE04,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 4; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying workbook",High,Run an analysis,advanced
AIHE-PY23,Agent-based simulation of clinician adoption,4,py; ipynb; xlsx; ods; csv; json; png; md,"Models heterogeneous clinicians whose adoption changes through training, peer influence, perceived usefulness, workload, and adverse incidents.",V1.0,public,"4, 8, 12",chapters/04/python_analytics/AIHE-PY23_agent_based_simulation_of_clinician_adoption,"Productivity, Workforce Redesign, and Implementation",AIHE-D02; AIHE-RG03; AIHE-CASE04,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 4; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying workbook",High,Run an analysis,advanced
AIHE-PY28,"Workflow time, capacity, productivity, and benefit realization",4,py; ipynb; xlsx; ods; csv; json; png; md,"Translates gross task-time savings into net time, usable capacity, realized output, quality-adjusted productivity, and economic value.",V1.0,public,"4, 6",chapters/04/python_analytics/AIHE-PY28_workflow_time_capacity_productivity_and_benefit_realization,"Productivity, Workforce Redesign, and Implementation",AIHE-B03; AIHE-CASE04,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 4; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying workbook",High,Run an analysis,advanced
AIHE-EX07,Benefit Realization and Capacity Conversion Log,4,docx; odt; xlsx; ods; csv; json; md; mmd; svg; png,"Assign each benefit to a mechanism, measure, owner, baseline, timing, accounting treatment, and verification source.",V1.0,optional,"4,6,7",chapters/04/core/AIHE-B03/supp/AIHE-EX07,"Productivity, Workforce Redesign, and Implementation",AIHE-B03,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-EX07.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 4,As required by the decision,Optional or conditionally required,"DOCX/ODT, XLSX/ODS, or structured data",Moderate,Use a specialist resource,advanced
