resource_id,module_number,title,primary_chapter,primary_chapter_title,additional_chapters,related_core_resources,related_case,formats,version,status,folder,primary_related_case,additional_related_cases,related_cases,script_path,notebook_path,xlsx_template_path,ods_template_path,example_outputs_path
AIHE-PY02,02,Descriptive statistics and visual comparisons,5,"Quality, Accreditation, and Organizational Learning","3, 5, 11",AIHE-C01,AIHE-CASE05,py; ipynb; xlsx; ods; csv; json; png; md,V1.0,public,chapters/05/python_analytics/AIHE-PY02_descriptive_statistics_and_visual_comparisons,AIHE-CASE05,,AIHE-CASE05,chapters/05/python_analytics/AIHE-PY02_descriptive_statistics_and_visual_comparisons/python/02_descriptive_statistics_and_visuals.py,chapters/05/python_analytics/AIHE-PY02_descriptive_statistics_and_visual_comparisons/notebook/02_descriptive_statistics_and_visuals.ipynb,chapters/05/python_analytics/AIHE-PY02_descriptive_statistics_and_visual_comparisons/data/xlsx/02_descriptive_statistics_and_visuals_template.xlsx,chapters/05/python_analytics/AIHE-PY02_descriptive_statistics_and_visual_comparisons/data/ods/02_descriptive_statistics_and_visuals_template.ods,chapters/05/python_analytics/AIHE-PY02_descriptive_statistics_and_visual_comparisons/outputs/example
AIHE-PY10,10,Total Cost of AI Ownership (TCAIO) lifecycle costing,6,"Lifecycle Cost, Pricing, and Benefit Realization","6, 9, 14, 15",AIHE-B02,AIHE-CASE06,py; ipynb; xlsx; ods; csv; json; png; md,V1.0,public,chapters/06/python_analytics/AIHE-PY10_total_cost_of_ai_ownership_tcaio_lifecycle_costing,AIHE-CASE06,,AIHE-CASE06,chapters/06/python_analytics/AIHE-PY10_total_cost_of_ai_ownership_tcaio_lifecycle_costing/python/10_tcaio_lifecycle_costing.py,chapters/06/python_analytics/AIHE-PY10_total_cost_of_ai_ownership_tcaio_lifecycle_costing/notebook/10_tcaio_lifecycle_costing.ipynb,chapters/06/python_analytics/AIHE-PY10_total_cost_of_ai_ownership_tcaio_lifecycle_costing/data/xlsx/10_tcaio_lifecycle_costing_template.xlsx,chapters/06/python_analytics/AIHE-PY10_total_cost_of_ai_ownership_tcaio_lifecycle_costing/data/ods/10_tcaio_lifecycle_costing_template.ods,chapters/06/python_analytics/AIHE-PY10_total_cost_of_ai_ownership_tcaio_lifecycle_costing/outputs/example
AIHE-PY11,11,"ROI, net benefit, and benefit-realization analysis",6,"Lifecycle Cost, Pricing, and Benefit Realization","4, 6, 7",AIHE-B03,AIHE-CASE06,py; ipynb; xlsx; ods; csv; json; png; md,V1.0,public,chapters/06/python_analytics/AIHE-PY11_roi_net_benefit_and_benefit_realization_analysis,AIHE-CASE06,,AIHE-CASE06,chapters/06/python_analytics/AIHE-PY11_roi_net_benefit_and_benefit_realization_analysis/python/11_roi_benefit_realization.py,chapters/06/python_analytics/AIHE-PY11_roi_net_benefit_and_benefit_realization_analysis/notebook/11_roi_benefit_realization.ipynb,chapters/06/python_analytics/AIHE-PY11_roi_net_benefit_and_benefit_realization_analysis/data/xlsx/11_roi_benefit_realization_template.xlsx,chapters/06/python_analytics/AIHE-PY11_roi_net_benefit_and_benefit_realization_analysis/data/ods/11_roi_benefit_realization_template.ods,chapters/06/python_analytics/AIHE-PY11_roi_net_benefit_and_benefit_realization_analysis/outputs/example
AIHE-PY12,12,"Cost-effectiveness, ICER, and net monetary benefit",7,"Economic Evaluation, Affordability, and HTA","7, 8, 15",AIHE-B04,AIHE-CASE07,py; ipynb; xlsx; ods; csv; json; png; md,V1.0,public,chapters/07/python_analytics/AIHE-PY12_cost_effectiveness_icer_and_net_monetary_benefit,AIHE-CASE07,,AIHE-CASE07,chapters/07/python_analytics/AIHE-PY12_cost_effectiveness_icer_and_net_monetary_benefit/python/12_cost_effectiveness_icer_nmb.py,chapters/07/python_analytics/AIHE-PY12_cost_effectiveness_icer_and_net_monetary_benefit/notebook/12_cost_effectiveness_icer_nmb.ipynb,chapters/07/python_analytics/AIHE-PY12_cost_effectiveness_icer_and_net_monetary_benefit/data/xlsx/12_cost_effectiveness_icer_nmb_template.xlsx,chapters/07/python_analytics/AIHE-PY12_cost_effectiveness_icer_and_net_monetary_benefit/data/ods/12_cost_effectiveness_icer_nmb_template.ods,chapters/07/python_analytics/AIHE-PY12_cost_effectiveness_icer_and_net_monetary_benefit/outputs/example
AIHE-PY13,13,Multiyear budget-impact analysis,7,"Economic Evaluation, Affordability, and HTA","6, 7, 8",AIHE-B04,AIHE-CASE07,py; ipynb; xlsx; ods; csv; json; png; md,V1.0,public,chapters/07/python_analytics/AIHE-PY13_multiyear_budget_impact_analysis,AIHE-CASE07,,AIHE-CASE07,chapters/07/python_analytics/AIHE-PY13_multiyear_budget_impact_analysis/python/13_budget_impact_analysis.py,chapters/07/python_analytics/AIHE-PY13_multiyear_budget_impact_analysis/notebook/13_budget_impact_analysis.ipynb,chapters/07/python_analytics/AIHE-PY13_multiyear_budget_impact_analysis/data/xlsx/13_budget_impact_analysis_template.xlsx,chapters/07/python_analytics/AIHE-PY13_multiyear_budget_impact_analysis/data/ods/13_budget_impact_analysis_template.ods,chapters/07/python_analytics/AIHE-PY13_multiyear_budget_impact_analysis/outputs/example
AIHE-PY16,16,Distributional cost-effectiveness and equity-weighted analysis,7,"Economic Evaluation, Affordability, and HTA","7, 10, 15",AIHE-B04; AIHE-C03,AIHE-CASE07,py; ipynb; xlsx; ods; csv; json; png; md,V1.0,public,chapters/07/python_analytics/AIHE-PY16_distributional_cost_effectiveness_and_equity_weighted_analysis,AIHE-CASE07,,AIHE-CASE07,chapters/07/python_analytics/AIHE-PY16_distributional_cost_effectiveness_and_equity_weighted_analysis/python/16_distributional_cost_effectiveness.py,chapters/07/python_analytics/AIHE-PY16_distributional_cost_effectiveness_and_equity_weighted_analysis/notebook/16_distributional_cost_effectiveness.ipynb,chapters/07/python_analytics/AIHE-PY16_distributional_cost_effectiveness_and_equity_weighted_analysis/data/xlsx/16_distributional_cost_effectiveness_template.xlsx,chapters/07/python_analytics/AIHE-PY16_distributional_cost_effectiveness_and_equity_weighted_analysis/data/ods/16_distributional_cost_effectiveness_template.ods,chapters/07/python_analytics/AIHE-PY16_distributional_cost_effectiveness_and_equity_weighted_analysis/outputs/example
AIHE-PY14,14,Deterministic sensitivity and tornado analysis,8,Decision Modelling and Simulation Under Uncertainty,8,AIHE-B05; AIHE-RG05,AIHE-CASE08,py; ipynb; xlsx; ods; csv; json; png; md,V1.0,public,chapters/08/python_analytics/AIHE-PY14_deterministic_sensitivity_and_tornado_analysis,AIHE-CASE08,,AIHE-CASE08,chapters/08/python_analytics/AIHE-PY14_deterministic_sensitivity_and_tornado_analysis/python/14_deterministic_sensitivity_tornado.py,chapters/08/python_analytics/AIHE-PY14_deterministic_sensitivity_and_tornado_analysis/notebook/14_deterministic_sensitivity_tornado.ipynb,chapters/08/python_analytics/AIHE-PY14_deterministic_sensitivity_and_tornado_analysis/data/xlsx/14_deterministic_sensitivity_tornado_template.xlsx,chapters/08/python_analytics/AIHE-PY14_deterministic_sensitivity_and_tornado_analysis/data/ods/14_deterministic_sensitivity_tornado_template.ods,chapters/08/python_analytics/AIHE-PY14_deterministic_sensitivity_and_tornado_analysis/outputs/example
AIHE-PY15,15,"Probabilistic sensitivity analysis, CEAC, and EVPI",8,Decision Modelling and Simulation Under Uncertainty,8,AIHE-B05; AIHE-RG05,AIHE-CASE08,py; ipynb; xlsx; ods; csv; json; png; md,V1.0,public,chapters/08/python_analytics/AIHE-PY15_probabilistic_sensitivity_analysis_ceac_and_evpi,AIHE-CASE08,,AIHE-CASE08,chapters/08/python_analytics/AIHE-PY15_probabilistic_sensitivity_analysis_ceac_and_evpi/python/15_probabilistic_sensitivity_ceac_evpi.py,chapters/08/python_analytics/AIHE-PY15_probabilistic_sensitivity_analysis_ceac_and_evpi/notebook/15_probabilistic_sensitivity_ceac_evpi.ipynb,chapters/08/python_analytics/AIHE-PY15_probabilistic_sensitivity_analysis_ceac_and_evpi/data/xlsx/15_probabilistic_sensitivity_ceac_evpi_template.xlsx,chapters/08/python_analytics/AIHE-PY15_probabilistic_sensitivity_analysis_ceac_and_evpi/data/ods/15_probabilistic_sensitivity_ceac_evpi_template.ods,chapters/08/python_analytics/AIHE-PY15_probabilistic_sensitivity_analysis_ceac_and_evpi/outputs/example
AIHE-PY18,18,Decision-tree pathway model,8,Decision Modelling and Simulation Under Uncertainty,8,AIHE-B05,AIHE-CASE08,py; ipynb; xlsx; ods; csv; json; png; md,V1.0,public,chapters/08/python_analytics/AIHE-PY18_decision_tree_pathway_model,AIHE-CASE08,,AIHE-CASE08,chapters/08/python_analytics/AIHE-PY18_decision_tree_pathway_model/python/18_decision_tree_pathway.py,chapters/08/python_analytics/AIHE-PY18_decision_tree_pathway_model/notebook/18_decision_tree_pathway.ipynb,chapters/08/python_analytics/AIHE-PY18_decision_tree_pathway_model/data/xlsx/18_decision_tree_pathway_template.xlsx,chapters/08/python_analytics/AIHE-PY18_decision_tree_pathway_model/data/ods/18_decision_tree_pathway_template.ods,chapters/08/python_analytics/AIHE-PY18_decision_tree_pathway_model/outputs/example
AIHE-PY19,19,Markov cohort model for long-term AI evaluation,8,Decision Modelling and Simulation Under Uncertainty,8,AIHE-B05,AIHE-CASE08,py; ipynb; xlsx; ods; csv; json; png; md,V1.0,public,chapters/08/python_analytics/AIHE-PY19_markov_cohort_model_for_long_term_ai_evaluation,AIHE-CASE08,,AIHE-CASE08,chapters/08/python_analytics/AIHE-PY19_markov_cohort_model_for_long_term_ai_evaluation/python/19_markov_cohort_model.py,chapters/08/python_analytics/AIHE-PY19_markov_cohort_model_for_long_term_ai_evaluation/notebook/19_markov_cohort_model.ipynb,chapters/08/python_analytics/AIHE-PY19_markov_cohort_model_for_long_term_ai_evaluation/data/xlsx/19_markov_cohort_model_template.xlsx,chapters/08/python_analytics/AIHE-PY19_markov_cohort_model_for_long_term_ai_evaluation/data/ods/19_markov_cohort_model_template.ods,chapters/08/python_analytics/AIHE-PY19_markov_cohort_model_for_long_term_ai_evaluation/outputs/example
AIHE-PY20,20,Patient-level microsimulation,8,Decision Modelling and Simulation Under Uncertainty,8,AIHE-B05,AIHE-CASE08,py; ipynb; xlsx; ods; csv; json; png; md,V1.0,public,chapters/08/python_analytics/AIHE-PY20_patient_level_microsimulation,AIHE-CASE08,,AIHE-CASE08,chapters/08/python_analytics/AIHE-PY20_patient_level_microsimulation/python/20_patient_microsimulation.py,chapters/08/python_analytics/AIHE-PY20_patient_level_microsimulation/notebook/20_patient_microsimulation.ipynb,chapters/08/python_analytics/AIHE-PY20_patient_level_microsimulation/data/xlsx/20_patient_microsimulation_template.xlsx,chapters/08/python_analytics/AIHE-PY20_patient_level_microsimulation/data/ods/20_patient_microsimulation_template.ods,chapters/08/python_analytics/AIHE-PY20_patient_level_microsimulation/outputs/example
AIHE-PY17,17,AI pricing and contract scenario analysis,9,Problem-First Procurement and Vendor Governance,"6, 9",AIHE-B02; AIHE-D01,AIHE-CASE09,py; ipynb; xlsx; ods; csv; json; png; md,V1.0,public,chapters/09/python_analytics/AIHE-PY17_ai_pricing_and_contract_scenario_analysis,AIHE-CASE09,,AIHE-CASE09,chapters/09/python_analytics/AIHE-PY17_ai_pricing_and_contract_scenario_analysis/python/17_ai_pricing_contract_scenarios.py,chapters/09/python_analytics/AIHE-PY17_ai_pricing_and_contract_scenario_analysis/notebook/17_ai_pricing_contract_scenarios.ipynb,chapters/09/python_analytics/AIHE-PY17_ai_pricing_and_contract_scenario_analysis/data/xlsx/17_ai_pricing_contract_scenarios_template.xlsx,chapters/09/python_analytics/AIHE-PY17_ai_pricing_and_contract_scenario_analysis/data/ods/17_ai_pricing_contract_scenarios_template.ods,chapters/09/python_analytics/AIHE-PY17_ai_pricing_and_contract_scenario_analysis/outputs/example
AIHE-PY25,25,Weighted procurement scorecard with mandatory safeguards,9,Problem-First Procurement and Vendor Governance,"9, 12, 14",AIHE-D01,AIHE-CASE09,py; ipynb; xlsx; ods; csv; json; png; md,V1.0,public,chapters/09/python_analytics/AIHE-PY25_weighted_procurement_scorecard_with_mandatory_safeguards,AIHE-CASE09,,AIHE-CASE09,chapters/09/python_analytics/AIHE-PY25_weighted_procurement_scorecard_with_mandatory_safeguards/python/25_procurement_mcda_scorecard.py,chapters/09/python_analytics/AIHE-PY25_weighted_procurement_scorecard_with_mandatory_safeguards/notebook/25_procurement_mcda_scorecard.ipynb,chapters/09/python_analytics/AIHE-PY25_weighted_procurement_scorecard_with_mandatory_safeguards/data/xlsx/25_procurement_mcda_scorecard_template.xlsx,chapters/09/python_analytics/AIHE-PY25_weighted_procurement_scorecard_with_mandatory_safeguards/data/ods/25_procurement_mcda_scorecard_template.ods,chapters/09/python_analytics/AIHE-PY25_weighted_procurement_scorecard_with_mandatory_safeguards/outputs/example
AIHE-PY07,07,Feature importance and partial-dependence exploration,10,"Governance, Accountability, and Institutional Risk","3, 10, 11",AIHE-C03,AIHE-CASE10,py; ipynb; xlsx; ods; csv; json; png; md,V1.0,public,chapters/10/python_analytics/AIHE-PY07_feature_importance_and_partial_dependence_exploration,AIHE-CASE10,,AIHE-CASE10,chapters/10/python_analytics/AIHE-PY07_feature_importance_and_partial_dependence_exploration/python/07_feature_importance_explainability.py,chapters/10/python_analytics/AIHE-PY07_feature_importance_and_partial_dependence_exploration/notebook/07_feature_importance_explainability.ipynb,chapters/10/python_analytics/AIHE-PY07_feature_importance_and_partial_dependence_exploration/data/xlsx/07_feature_importance_explainability_template.xlsx,chapters/10/python_analytics/AIHE-PY07_feature_importance_and_partial_dependence_exploration/data/ods/07_feature_importance_explainability_template.ods,chapters/10/python_analytics/AIHE-PY07_feature_importance_and_partial_dependence_exploration/outputs/example
AIHE-PY08,08,Subgroup performance and equity audit,10,"Governance, Accountability, and Institutional Risk","7, 10, 11, 15",AIHE-C03,AIHE-CASE10,py; ipynb; xlsx; ods; csv; json; png; md,V1.0,public,chapters/10/python_analytics/AIHE-PY08_subgroup_performance_and_equity_audit,AIHE-CASE10,,AIHE-CASE10,chapters/10/python_analytics/AIHE-PY08_subgroup_performance_and_equity_audit/python/08_subgroup_equity_audit.py,chapters/10/python_analytics/AIHE-PY08_subgroup_performance_and_equity_audit/notebook/08_subgroup_equity_audit.ipynb,chapters/10/python_analytics/AIHE-PY08_subgroup_performance_and_equity_audit/data/xlsx/08_subgroup_equity_audit_template.xlsx,chapters/10/python_analytics/AIHE-PY08_subgroup_performance_and_equity_audit/data/ods/08_subgroup_equity_audit_template.ods,chapters/10/python_analytics/AIHE-PY08_subgroup_performance_and_equity_audit/outputs/example
AIHE-PY26,26,"Integrated privacy, cybersecurity, equity, safety, and trust risk register",10,"Governance, Accountability, and Institutional Risk","10, 12",AIHE-C03,AIHE-CASE10,py; ipynb; xlsx; ods; csv; json; png; md,V1.0,public,chapters/10/python_analytics/AIHE-PY26_integrated_privacy_cybersecurity_equity_safety_and_trust_risk_register,AIHE-CASE10,,AIHE-CASE10,chapters/10/python_analytics/AIHE-PY26_integrated_privacy_cybersecurity_equity_safety_and_trust_risk_register/python/26_integrated_risk_register.py,chapters/10/python_analytics/AIHE-PY26_integrated_privacy_cybersecurity_equity_safety_and_trust_risk_register/notebook/26_integrated_risk_register.ipynb,chapters/10/python_analytics/AIHE-PY26_integrated_privacy_cybersecurity_equity_safety_and_trust_risk_register/data/xlsx/26_integrated_risk_register_template.xlsx,chapters/10/python_analytics/AIHE-PY26_integrated_privacy_cybersecurity_equity_safety_and_trust_risk_register/data/ods/26_integrated_risk_register_template.ods,chapters/10/python_analytics/AIHE-PY26_integrated_privacy_cybersecurity_equity_safety_and_trust_risk_register/outputs/example
AIHE-PY04,04,Predictive model development: logistic regression and random forest,11,"Evidence, Validation, and Real-World Evaluation","3, 11",AIHE-B05,AIHE-CASE11,py; ipynb; xlsx; ods; csv; json; png; md,V1.0,public,chapters/11/python_analytics/AIHE-PY04_predictive_model_development_logistic_regression_and_random_forest,AIHE-CASE11,,AIHE-CASE11,chapters/11/python_analytics/AIHE-PY04_predictive_model_development_logistic_regression_and_random_forest/python/04_predictive_model_comparison.py,chapters/11/python_analytics/AIHE-PY04_predictive_model_development_logistic_regression_and_random_forest/notebook/04_predictive_model_comparison.ipynb,chapters/11/python_analytics/AIHE-PY04_predictive_model_development_logistic_regression_and_random_forest/data/xlsx/04_predictive_model_comparison_template.xlsx,chapters/11/python_analytics/AIHE-PY04_predictive_model_development_logistic_regression_and_random_forest/data/ods/04_predictive_model_comparison_template.ods,chapters/11/python_analytics/AIHE-PY04_predictive_model_development_logistic_regression_and_random_forest/outputs/example
AIHE-PY05,05,"Model performance, threshold trade-offs, and calibration",11,"Evidence, Validation, and Real-World Evaluation","3, 11",AIHE-B05,AIHE-CASE11,py; ipynb; xlsx; ods; csv; json; png; md,V1.0,public,chapters/11/python_analytics/AIHE-PY05_model_performance_threshold_trade_offs_and_calibration,AIHE-CASE11,,AIHE-CASE11,chapters/11/python_analytics/AIHE-PY05_model_performance_threshold_trade_offs_and_calibration/python/05_performance_and_calibration.py,chapters/11/python_analytics/AIHE-PY05_model_performance_threshold_trade_offs_and_calibration/notebook/05_performance_and_calibration.ipynb,chapters/11/python_analytics/AIHE-PY05_model_performance_threshold_trade_offs_and_calibration/data/xlsx/05_performance_and_calibration_template.xlsx,chapters/11/python_analytics/AIHE-PY05_model_performance_threshold_trade_offs_and_calibration/data/ods/05_performance_and_calibration_template.ods,chapters/11/python_analytics/AIHE-PY05_model_performance_threshold_trade_offs_and_calibration/outputs/example
